O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
2400934,136390,O,295036.71,22-05-1997,2-HIGH,Clerk#000000567,0,he silently unusual asympto
2400935,131293,O,261074.6,13-06-1996,1-URGENT,Clerk#000000884,0,realms doubt blithely regular theodolites. dep
2400960,108799,O,232473.51,21-10-1997,3-MEDIUM,Clerk#000000769,0,y dogged dolphins use quickly around the carefully unusual pinto be
2400961,76103,F,178097.92,06-01-1995,1-URGENT,Clerk#000000427,0,"usly even requests shall have to wake fluffily regular, even ac"
2400962,11659,F,146705.96,04-04-1992,5-LOW,Clerk#000000962,0,requests grow sly warhorses. deposits doze.
2400963,48437,O,259727.4,03-07-1995,2-HIGH,Clerk#000000419,0,es. fluffily regular deposits against the quickly bold instructions haggle car
2400964,30004,O,192140.09,30-12-1995,3-MEDIUM,Clerk#000000812,0,equests. careful courts wake. furiously specia
2400965,111667,P,225054.15,15-03-1995,4-NOT SPECIFIED,Clerk#000000169,0,y regular theodolites use bli
2400966,108817,O,73717.42,31-10-1997,3-MEDIUM,Clerk#000000828,0,es wake slyly. quickly regular packages sleep careful
2400967,73199,O,292531.74,21-03-1996,2-HIGH,Clerk#000000999,0,s. furiously even the
2400992,91327,F,51953.52,22-05-1992,1-URGENT,Clerk#000000344,0,". packages integrate carefully unusual, silent pac"
2400993,130952,F,62088.01,03-10-1994,2-HIGH,Clerk#000000066,0,inal grouches wake carefully. blithely final theodolites l
2400994,105931,O,80396.53,03-02-1997,1-URGENT,Clerk#000000186,0, the fluffily ironic ideas. blithely ironic
2400995,32212,O,187353.84,20-09-1996,3-MEDIUM,Clerk#000000380,0, are according to the excuses. regular sheaves do integrate q
2400996,24697,F,73478.28,14-01-1995,4-NOT SPECIFIED,Clerk#000000428,0, courts. pending packages cajole above the slyly express asympto
2400997,24466,F,209566.27,23-11-1992,4-NOT SPECIFIED,Clerk#000000517,0,ourts haggle carefully about the ironic pinto beans. carefully final orbits
2400998,39071,F,89515.09,05-04-1994,4-NOT SPECIFIED,Clerk#000000128,0,old accounts. theodolites cajole regu
2400999,115955,F,36714.87,11-02-1993,3-MEDIUM,Clerk#000000199,0,"ntegrate. express, daring packages integra"
2401024,46016,F,103877.34,28-04-1994,3-MEDIUM,Clerk#000000112,0,courts among the requests play slyly express ideas. slyly bold deposit
2401025,127876,F,93569.71,27-06-1994,4-NOT SPECIFIED,Clerk#000000124,0,against the furiously regular asy
2401026,135715,O,263905.13,08-05-1996,3-MEDIUM,Clerk#000000971,0,". quickly ironic courts alongside of the regular, bold accounts haggle fur"
2401027,33778,O,124989.33,12-06-1995,2-HIGH,Clerk#000000049,0,ake slyly for the ex
2401028,74045,O,162954.03,18-01-1998,3-MEDIUM,Clerk#000000289,0,long the regular theodolites
2401029,62392,O,71626.32,18-06-1997,1-URGENT,Clerk#000000860,0,lar platelets lose blithely at the furiously speci
2401030,89116,F,62335.85,21-07-1993,1-URGENT,Clerk#000000840,0, even theodolites sleep carefully. thinly special accounts must 
2401031,145414,F,97533,19-12-1992,2-HIGH,Clerk#000000838,0,"packages sleep slyly. pending, final dolphins sleep quickly special, even pa"
2401056,15022,F,336117.69,18-03-1992,1-URGENT,Clerk#000000487,0,egular deposits. carefully regular foxes
2401057,148612,F,23645.67,17-06-1992,3-MEDIUM,Clerk#000000587,0, final accounts serve blithely accounts. quickly unu
2401058,58855,O,72639.71,06-10-1997,3-MEDIUM,Clerk#000001000,0,"out the regular, ironic requests. unusual, ironic packages wake s"
2401059,63970,O,85846.61,27-05-1998,2-HIGH,Clerk#000000330,0,to beans. blithely special deposits nag furiously accoun
2401060,80695,O,10002.42,03-05-1998,1-URGENT,Clerk#000000050,0,sh slyly slyly special patterns. ironic depths nod always pendi
2401061,69958,O,32655.05,08-10-1996,3-MEDIUM,Clerk#000000629,0, wake carefully across the slyly final accounts. busily
2401062,78710,O,38340.02,03-06-1997,2-HIGH,Clerk#000000963,0,e ironic foxes sleep along the 
2401063,20710,F,107427.01,25-12-1993,2-HIGH,Clerk#000000797,0, the blithely final packages are slyly pending asymp
2401088,46795,O,11370.49,11-07-1998,3-MEDIUM,Clerk#000000905,0,xes wake slyly carefully ironic requests. quickly
2401089,24796,F,136453.4,18-01-1993,2-HIGH,Clerk#000000511,0,nst the carefully express instructions. carefully pe
2401090,17638,O,146395.62,19-08-1995,2-HIGH,Clerk#000000392,0,"ilent deposits nag slyly final, bold pinto beans. slowly final acc"
2401091,38344,O,71877.8,21-03-1997,2-HIGH,Clerk#000000435,0,imes pending requests above the ideas 
2401092,34628,O,229652.48,13-06-1996,4-NOT SPECIFIED,Clerk#000000942,0,ven theodolites impress slyly even foxes. fluffily expres
2401093,127691,F,55444.7,10-02-1994,1-URGENT,Clerk#000000388,0,its alongside of the carefully speci
2401094,44140,P,184072.69,13-05-1995,2-HIGH,Clerk#000000765,0,s detect slyly against the daring orbits. slyly regular requests are. dogged 
2401095,100397,F,292020.64,15-10-1992,3-MEDIUM,Clerk#000000057,0,cross the stealthy accounts wake slyly above the carefully iro
2401120,8551,O,214383.48,05-01-1997,4-NOT SPECIFIED,Clerk#000000282,0, ironic packages against the deposits wake attainments; carefully ironi
2401121,145549,F,247717.28,03-02-1992,2-HIGH,Clerk#000000150,0,te slyly even dugouts. pinto beans above the carefull
2401122,18439,O,143888.41,19-03-1998,2-HIGH,Clerk#000000367,0, unusual deposits maintain. blithely express instructions haggle slyly
2401123,143839,O,195582.8,25-06-1997,2-HIGH,Clerk#000000902,0,y foxes; blithely fin
2401124,91315,F,143401.24,14-10-1994,4-NOT SPECIFIED,Clerk#000000959,0,nly ironic platelets haggle carefully. iro
2401125,72382,O,258891.13,07-02-1998,3-MEDIUM,Clerk#000000787,0,"ing instructions? silent, unusual deposits wake slyly. unusual reques"
2401126,6763,F,95580.79,11-02-1994,5-LOW,Clerk#000000637,0,carefully regular theodolites sleep slyly. thinly unusual instructions ab
2401127,89278,O,203428,26-04-1996,5-LOW,Clerk#000000026,0,its. fluffily regular requests kindle b
2401152,13345,F,50777.59,14-07-1993,5-LOW,Clerk#000000389,0,uthless accounts cajole above the fluffily final packages. express pack
2401153,10781,O,160958.48,01-09-1996,3-MEDIUM,Clerk#000000710,0,"le among the blithe, pending pinto beans. ironic packages play furiously along"
2401154,131497,F,139753.71,25-11-1993,1-URGENT,Clerk#000000332,0,ages thrash across the blithely 
2401155,88694,O,115425.15,19-11-1996,5-LOW,Clerk#000000653,0,yly carefully unusual packages. regular instructions use blithel
2401156,121027,F,260208.61,12-06-1993,4-NOT SPECIFIED,Clerk#000000628,0,counts. slyly regular packag
2401157,98483,O,106533.59,08-05-1996,1-URGENT,Clerk#000000886,0,"nst the packages. unusual theodolites across the bold, ironic deposits ca"
2401158,103711,F,79551.1,10-07-1992,2-HIGH,Clerk#000000998,0,osits. carefully final deposits across the furiously bo
2401159,49288,O,225064.15,27-10-1996,4-NOT SPECIFIED,Clerk#000000296,0,telets. furiously iro
2401184,57583,O,341498.41,01-07-1996,3-MEDIUM,Clerk#000000074,0,s. even accounts according to the carefu
2401185,143659,F,142707.29,06-07-1992,3-MEDIUM,Clerk#000000434,0, express pinto beans sleep 
2401186,51013,F,273839.57,24-11-1993,5-LOW,Clerk#000000226,0,s; regular epitaphs maintain blithely. accou
2401187,106205,F,215134.53,23-09-1993,5-LOW,Clerk#000000400,0,ly: final courts sleep pinto beans. even pa
2401188,137294,O,153685.82,19-09-1997,5-LOW,Clerk#000000563,0,"he dogged, regular pinto beans are alongside of the carefully final"
2401189,35314,O,313016.31,11-03-1996,1-URGENT,Clerk#000000030,0,uriously bold accounts. quickly express pinto beans ru
2401190,104117,O,217018,26-11-1995,1-URGENT,Clerk#000000868,0,"ly about the packages. regular, regular de"
2401191,132731,O,117103.41,08-12-1997,5-LOW,Clerk#000000813,0," above the even, fi"
2401216,1775,F,256437.48,11-06-1993,4-NOT SPECIFIED,Clerk#000000699,0,cajole after the slyly pending pinto beans. ironic as
2401217,123110,O,12055.24,06-11-1995,5-LOW,Clerk#000000290,0, pending platelets. quickly final instructions nag fluffily. fluffily pe
2401218,7619,O,239874.7,08-05-1996,3-MEDIUM,Clerk#000000357,0,mes unusual asymptotes affix bli
2401219,90421,F,110396.68,14-09-1992,1-URGENT,Clerk#000000002,0,ccounts. even accounts 
2401220,46820,F,100328.91,26-08-1993,2-HIGH,Clerk#000000870,0,silent pinto beans? special dependencies are across the carefully pendi
2401221,138704,O,124147.43,29-06-1996,2-HIGH,Clerk#000000044,0,he furiously pending foxes: even packages cajole fluffily final ideas. ironi
2401222,47449,F,217465.47,26-03-1992,4-NOT SPECIFIED,Clerk#000000207,0," furiously after the carefully ironic foxes. ironic, bold d"
2401223,46996,O,267534.62,27-02-1997,1-URGENT,Clerk#000000495,0, express deposits. slyly final pinto beans according
2401248,107762,O,78239.13,16-02-1996,2-HIGH,Clerk#000000362,0,ans. pending packages among the pending courts thrash carefully unusua
2401249,48832,O,42015.76,28-11-1997,4-NOT SPECIFIED,Clerk#000000752,0,dolites sleep furiously against the fluffily b
2401250,40096,O,41555.24,16-11-1996,1-URGENT,Clerk#000000223,0,uests nag? furiously ironic excuses are across the fluffily regular ide
2401251,77845,F,318629.18,14-05-1994,4-NOT SPECIFIED,Clerk#000000300,0,the deposits haggle ruthl
2401252,21343,O,258592.96,24-12-1996,4-NOT SPECIFIED,Clerk#000000820,0,ly against the special packages. slyly even packages haggle. 
2401253,38881,F,185755.05,05-02-1994,3-MEDIUM,Clerk#000000383,0,busy accounts. bold idea
2401254,51016,O,28219.8,01-05-1996,4-NOT SPECIFIED,Clerk#000000384,0,uffily express instructions haggle.
2401255,145636,F,57632.16,31-03-1994,4-NOT SPECIFIED,Clerk#000000131,0,ly ironic decoys cajole at the 
2401280,131248,F,143434.94,19-01-1992,3-MEDIUM,Clerk#000000226,0,"the ironic requests. unusual, expres"
2401281,112708,O,73667.01,07-10-1995,2-HIGH,Clerk#000000326,0, sheaves across the regular hockey players wake carefully about the 
2401282,56414,O,242717.4,14-12-1995,5-LOW,Clerk#000000319,0,. furiously regular deposits breach among the special packages. s
2401283,140711,F,205228.37,06-11-1994,3-MEDIUM,Clerk#000000247,0,ronic deposits. regularly even requests boost against the carefully reg
2401284,29104,F,215703.43,29-07-1993,3-MEDIUM,Clerk#000000646,0,structions. blithely express accounts are quickly along t
2401285,136240,F,159350.42,06-07-1994,3-MEDIUM,Clerk#000000695,0,lphins. bold deposits along the even theodolites sleep furiously about the fi
2401286,12007,O,120749.84,28-07-1995,5-LOW,Clerk#000000088,0,"final, enticing ideas sleep blithely s"
2401287,19678,O,124494.08,03-07-1995,4-NOT SPECIFIED,Clerk#000000649,0,"thlessly even foxes haggle about the even, regular foxes. carefully spe"
2401312,126364,F,173468.32,09-01-1995,2-HIGH,Clerk#000000795,0,ly over the fluffily enticing foxes. blithely even dolph
2401313,91346,F,236160.6,03-08-1993,1-URGENT,Clerk#000000245,0,l courts use ruthlessly. quickly regular asymptotes wake furi
2401314,143101,F,149254.82,06-03-1995,1-URGENT,Clerk#000000590,0,s. enticingly unusual depo
2401315,141958,O,118888.43,18-06-1996,3-MEDIUM,Clerk#000000569,0,xpress deposits boost furiously along the thinly even accounts. even d
2401316,133784,F,90523.91,14-03-1995,3-MEDIUM,Clerk#000000656,0,lar requests sleep carefully alongside of the fina
2401317,141221,F,356697.06,30-06-1993,1-URGENT,Clerk#000000369,0,pending packages. slyly final pint
2401318,46156,F,305787.88,10-02-1994,3-MEDIUM,Clerk#000000357,0,ithely according to the slyly ironic excuse
2401319,61999,F,32486.71,16-09-1993,1-URGENT,Clerk#000000903,0,ic asymptotes wake daringly ironic pinto beans. accounts se
2401344,105190,F,165530.31,22-01-1992,5-LOW,Clerk#000000342,0, platelets boost blithely. silen
2401345,6100,F,184446.69,09-04-1992,2-HIGH,Clerk#000000466,0,carefully even deposits nag slyly-- pending epitaphs wake 
2401346,55549,O,120417.79,31-10-1996,2-HIGH,Clerk#000000591,0,quickly final pinto
2401347,10849,O,177799.4,30-08-1997,1-URGENT,Clerk#000000028,0, furiously even pinto beans do cajole 
2401348,76511,O,75912.92,15-06-1996,1-URGENT,Clerk#000000089,0,ructions serve. regular instructions eat slyly e
2401349,106483,O,137414.14,22-06-1997,3-MEDIUM,Clerk#000000326,0,ic frays. closely unus
2401350,141997,O,214821.86,06-03-1998,1-URGENT,Clerk#000000793,0,regular deposits affix about the regul
2401351,21814,O,261429.26,05-07-1998,3-MEDIUM,Clerk#000000707,0,"usly. furiously final pinto beans integrate. regular, final instructions sl"
2401376,22633,F,177808.02,19-05-1994,3-MEDIUM,Clerk#000000311,0,s. quickly ironic depende
2401377,109957,F,184202.76,28-05-1992,1-URGENT,Clerk#000000765,0,ilent ideas. silently ironic instructions integrate special
2401378,38434,F,140913.92,03-06-1993,4-NOT SPECIFIED,Clerk#000000789,0,al requests use. platelet
2401379,45238,F,183498.11,14-08-1994,1-URGENT,Clerk#000000561,0,the quickly special accounts. carefully regular platelets slee
2401380,109639,O,26802.69,13-06-1997,2-HIGH,Clerk#000000471,0,"xes. bold, even pains cajole carefully according to the fluffily iron"
2401381,83206,O,20328.1,18-07-1996,1-URGENT,Clerk#000000567,0,old packages haggle quickly furiously final accounts. blithely bold d
2401382,134935,O,264681.63,07-02-1997,1-URGENT,Clerk#000000342,0,xes sleep carefully slyly pending packages. slyly ironic excuses across the s
2401383,143263,F,36511.66,14-09-1994,4-NOT SPECIFIED,Clerk#000000364,0,accounts. ironic ideas are over the bravely unusual pac
2401408,12377,O,203238.86,14-07-1995,4-NOT SPECIFIED,Clerk#000000788,0,blithely regular excuses wake according
2401409,108560,F,267317.09,02-10-1994,4-NOT SPECIFIED,Clerk#000000820,0, unusual requests against
2401410,106598,O,229456.07,24-12-1995,1-URGENT,Clerk#000000479,0,"ng the final, regular instructions. slyly bold accounts wake around the sl"
2401411,126736,O,18799.09,16-10-1995,5-LOW,Clerk#000000411,0,ges. slyly ironic theodolites caj
2401412,39038,O,50383.14,05-01-1998,2-HIGH,Clerk#000000333,0,he theodolites. blithely pending depos
2401413,2000,O,296133.94,10-08-1996,1-URGENT,Clerk#000000187,0,"arefully final decoys. final, final p"
2401414,40,O,187172.94,26-04-1996,3-MEDIUM,Clerk#000000789,0,furiously furiously special theodolites. regular packages
2401415,55106,F,141984.7,25-08-1993,4-NOT SPECIFIED,Clerk#000000585,0,l pinto beans. requests nag blithely. express
2401440,63980,F,323534.06,07-08-1994,1-URGENT,Clerk#000000639,0," carefully bold accounts. pending, unusual pac"
2401441,105715,O,352718.38,18-11-1995,1-URGENT,Clerk#000000767,0,es. accounts above the carefully regu
2401442,136361,F,54862.86,15-09-1993,4-NOT SPECIFIED,Clerk#000000519,0, unusual packages nag slyly against the ste
2401443,104971,O,204394.15,09-09-1995,4-NOT SPECIFIED,Clerk#000000766,0,among the furiously final accounts. blithely bold pinto beans except the spec
2401444,67744,O,145334.62,10-10-1997,2-HIGH,Clerk#000000275,0,ly final instructions.
2401445,67249,F,82819.38,10-11-1993,3-MEDIUM,Clerk#000000749,0,ully bold dependencies. always regular theodolites eat packages? slyly iro
2401446,137183,F,61836.59,15-03-1992,5-LOW,Clerk#000000067,0,"l deposits. even packages wake daringly above the careful, regular excuses. f"
2401447,121687,F,340906.58,21-01-1995,5-LOW,Clerk#000000407,0, the unusual theodolites sleep carefully slyly ironic foxes
2401472,72121,O,100019.05,29-11-1996,5-LOW,Clerk#000000595,0,ld thinly among the fluffily regular warthogs; slyly even id
2401473,122222,O,134201.77,17-10-1997,1-URGENT,Clerk#000000749,0,is nag furiously. slyl
2401474,71455,O,206602.05,30-03-1996,1-URGENT,Clerk#000000366,0,le bold attainments. slyly final dugouts against the carefully final pack
2401475,12749,F,200650.12,21-01-1994,2-HIGH,Clerk#000000033,0,final instructions are blithely after the slyly unusual excuses. bl
2401476,56785,F,348893.02,23-11-1992,1-URGENT,Clerk#000000632,0,carefully dependencies. furiously unusual excuses are sly
2401477,53489,F,70024.1,09-09-1993,5-LOW,Clerk#000000046,0, the carefully pending deposits play quickly accor
2401478,28199,F,256720.38,24-08-1992,3-MEDIUM,Clerk#000000269,0,"y ironic, bold accounts. carefully quiet "
2401479,75637,O,130204.5,30-07-1997,2-HIGH,Clerk#000000750,0,fully. packages along the carefully ironic instructions engage slyly 
2401504,126292,O,59735.88,15-03-1997,3-MEDIUM,Clerk#000000118,0,lent deposits wake blithely at the furious
2401505,87877,F,13079.8,31-03-1993,5-LOW,Clerk#000000566,0,"ckly special, permanent"
2401506,26150,F,15743.75,12-08-1994,3-MEDIUM,Clerk#000000667,0,beans. accounts lose fluffily slyly final excuses. express fra
2401507,142618,P,197553.4,14-05-1995,2-HIGH,Clerk#000000077,0,p according to the 
2401508,125551,F,139586.2,02-07-1993,5-LOW,Clerk#000000965,0,promise carefully above the qui
2401509,60442,O,309392.48,28-08-1997,4-NOT SPECIFIED,Clerk#000000653,0,ng the furiously express excuses could have to impress blithely r
2401510,40270,O,134120.75,13-10-1995,1-URGENT,Clerk#000000989,0,cing theodolites across the expres
2401511,7262,O,23917.61,27-10-1996,1-URGENT,Clerk#000000303,0,ts. slyly final requests use 
2401536,96982,F,287603.18,19-11-1993,5-LOW,Clerk#000000343,0,e the final deposits sleep according to the unusu
2401537,66583,O,126645.11,06-11-1996,4-NOT SPECIFIED,Clerk#000000680,0,"e blithely pending, special braids. furiously special"
2401538,54044,O,93103.84,11-07-1995,3-MEDIUM,Clerk#000000123,0,uriously slyly bold packages. carefully regular ideas cajole caref
2401539,55366,O,209304.36,01-10-1995,1-URGENT,Clerk#000000318,0,"lent, even excuses sleep instructions. furiously regular d"
2401540,73649,F,94887.86,10-03-1993,1-URGENT,Clerk#000000509,0,ding accounts haggle slyly instructions. express packages detect flu
2401541,9601,O,132443.03,29-09-1995,2-HIGH,Clerk#000000205,0,ect fluffily. fluff
2401542,98803,F,308539.73,12-12-1992,1-URGENT,Clerk#000000354,0,the blithely express ideas. stealthily even pinto beans along t
2401543,64714,O,153584.52,05-04-1996,4-NOT SPECIFIED,Clerk#000000121,0,"idle, ironic dependencies across the packages cajole furiou"
2401568,114748,O,367004,10-12-1996,2-HIGH,Clerk#000000345,0,o beans. blithely bold accounts above th
2401569,147346,F,178329.18,12-02-1994,2-HIGH,Clerk#000000613,0,slyly final pinto beans about the blithely final packages are agains
2401570,79487,O,49501.68,10-09-1996,1-URGENT,Clerk#000000237,0,"xes. idly even platelets sleep carefully. regular, ironic accounts"
2401571,29695,F,170400.27,27-09-1994,2-HIGH,Clerk#000000502,0,ke blithely. ironic requests are furiously iron
2401572,1907,O,53184.94,25-06-1997,4-NOT SPECIFIED,Clerk#000000441,0,he silent packages cajole across the requests. fur
2401573,84805,F,139364.69,26-05-1993,2-HIGH,Clerk#000000730,0,ic theodolites. accounts thrash quickly. blithely even packages nag carefu
2401574,5167,F,49395.95,16-07-1993,1-URGENT,Clerk#000000256,0,special ideas use thinly fu
2401575,127568,F,228580.7,07-12-1994,2-HIGH,Clerk#000000816,0, regular theodolites. quickly bold requests thrash car
2401600,72581,F,70020.77,21-05-1994,3-MEDIUM,Clerk#000000951,0,sits shall boost. special instructions print quickly furiously bold pinto b
2401601,52714,F,281800.56,15-01-1993,1-URGENT,Clerk#000000404,0,y quickly regular as
2401602,62500,F,193045.53,22-09-1993,4-NOT SPECIFIED,Clerk#000000834,0,ringly express requests boost besides the regular accou
2401603,129724,F,18480.58,27-12-1994,5-LOW,Clerk#000000171,0,aggle furiously fluffily ironic accounts. carefully
2401604,18199,F,127209.29,29-03-1995,1-URGENT,Clerk#000000700,0,ironic courts. quickly regular instructions above the furiously 
2401605,2497,F,110595.05,08-06-1992,1-URGENT,Clerk#000000954,0,ts. bold packages across the special ideas wake closely i
2401606,115963,O,272105.61,22-12-1995,4-NOT SPECIFIED,Clerk#000000268,0, accounts sleep blithely. ironic deposits x-ray care
2401607,24133,O,167854.7,30-07-1996,2-HIGH,Clerk#000000802,0,ronic instructions across the carefully ironic pa
2401632,144890,O,104345.21,23-02-1997,2-HIGH,Clerk#000000451,0, the regular accounts. blithely regular waters detect carefully agains
2401633,57058,F,26275.06,08-04-1992,5-LOW,Clerk#000000330,0,pt the slowly final theodolites affix f
2401634,13504,F,97489.77,01-03-1994,1-URGENT,Clerk#000000745,0,s nag carefully carefully bold dependencies. blithely regular depe
2401635,147083,F,72086.79,26-05-1994,4-NOT SPECIFIED,Clerk#000000251,0,ove the express dependencies. regular asymp
2401636,13324,F,65092.96,15-11-1993,2-HIGH,Clerk#000000484,0,elets alongside of the pending realms boost acro
2401637,107131,F,107796.99,18-03-1994,3-MEDIUM,Clerk#000000810,0," to the final, even dependencies. requests boost. fina"
2401638,76886,O,79666.25,04-01-1997,2-HIGH,Clerk#000000024,0,y regular braids haggle quickly bold packages. furiously enticing exc
2401639,113221,O,33687.19,16-01-1996,1-URGENT,Clerk#000000459,0,t decoys believe slyly according to the
2401664,124585,F,260946.66,01-01-1995,4-NOT SPECIFIED,Clerk#000000270,0," requests among the express, express asymptotes nod "
2401665,18688,F,10834.11,01-04-1993,1-URGENT,Clerk#000000347,0,onic packages doubt. silently silent platelets around the bold 
2401666,134011,F,179960.25,23-05-1993,1-URGENT,Clerk#000000645,0,es eat slyly excuses. carefully final packages cajole c
2401667,41863,O,17929.08,09-10-1996,2-HIGH,Clerk#000000503,0,ular foxes. furiously ironic foxes are blith
2401668,63679,F,128876.06,15-01-1992,1-URGENT,Clerk#000000787,0,ake carefully. blithely unusual dependenci
2401669,143003,O,77383.56,05-10-1997,5-LOW,Clerk#000000036,0,ckly along the daringly spec
2401670,136390,F,47886.67,05-02-1994,5-LOW,Clerk#000000268,0,requests cajole after the carefully special accounts. special depo
2401671,128656,F,80504.94,03-09-1993,4-NOT SPECIFIED,Clerk#000000173,0,carefully final deposits against the 
2401696,43718,O,139859.23,11-01-1998,3-MEDIUM,Clerk#000000168,0,"ng to the regular, final packag"
2401697,62671,F,31509.5,20-08-1994,5-LOW,Clerk#000000912,0,ing ideas. carefully bold deposits cajole. bold d
2401698,142430,F,105759.19,29-07-1992,5-LOW,Clerk#000000921,0,g somas. slyly final instructions detect along the carefully e
2401699,109156,F,294407.35,28-05-1992,4-NOT SPECIFIED,Clerk#000000268,0,"final, regular pinto be"
2401700,62654,O,221480.65,18-02-1997,2-HIGH,Clerk#000000674,0,"sual requests. pending, ironic realms above the"
2401701,12335,F,245832.51,09-03-1993,5-LOW,Clerk#000000814,0," blithely unusual pinto beans cajole carefully pending, final pla"
2401702,149294,O,123760.16,27-12-1997,1-URGENT,Clerk#000000739,0,onic instructions. slyly i
2401703,118240,O,124842.87,14-05-1998,4-NOT SPECIFIED,Clerk#000000801,0,mong the pinto beans. regular requests hinder slyly 
2401728,43291,O,151775.68,26-02-1998,5-LOW,Clerk#000000732,0,sts are slyly along the foxes. fluffily regular asymptotes sleep furiously 
2401729,79102,F,227803.47,30-01-1995,4-NOT SPECIFIED,Clerk#000000557,0,even theodolites. quickly ironic foxes about the bo
2401730,14557,F,135555.52,26-02-1994,4-NOT SPECIFIED,Clerk#000000580,0,fter the furiously ironic ideas. quickly reg
2401731,129988,O,271027.89,10-07-1995,4-NOT SPECIFIED,Clerk#000000657,0,ular platelets along
2401732,77353,F,204693.14,27-02-1993,3-MEDIUM,Clerk#000000102,0,"al, ironic packages sleep. silent, even fox"
2401733,13241,F,382326.21,13-10-1994,1-URGENT,Clerk#000000950,0,dencies. furiously even asymptotes are dugouts. furio
2401734,83077,O,32965.03,25-05-1998,3-MEDIUM,Clerk#000000643,0,. furiously final foxes cajole bravely ab
2401735,55727,O,92956.27,15-01-1998,5-LOW,Clerk#000000016,0,ly ironic dinos. excuses affix enticingly. furio
2401760,2497,O,24601.67,28-10-1997,2-HIGH,Clerk#000000182,0,ect blithely carefully final deposits. quickly unu
2401761,105142,F,239388.3,04-11-1994,4-NOT SPECIFIED,Clerk#000000249,0,kages cajole carefully special pinto beans. furiously bold n
2401762,116564,O,135701.95,01-02-1996,2-HIGH,Clerk#000000326,0,about the regular theodolites! express accounts cajole furiously
2401763,82753,F,181122.3,01-10-1994,5-LOW,Clerk#000000760,0,l ideas use blithely unusual sheaves; slyly special theodolites al
2401764,319,F,190277.86,03-01-1992,2-HIGH,Clerk#000000287,0,", final instructions haggle carefully pending deposits. regular ideas dazzle"
2401765,86161,F,90106.22,20-01-1995,5-LOW,Clerk#000000258,0,regular theodolites haggle carefully carefully pending accounts.
2401766,125060,O,90619.62,26-10-1997,5-LOW,Clerk#000000144,0,ess theodolites above 
2401767,71789,F,82134.56,04-08-1994,5-LOW,Clerk#000000238,0,usly bold courts. slyly blith
2401792,92716,O,93173.92,27-07-1995,1-URGENT,Clerk#000000583,0,inal packages doze. furious
2401793,65641,F,110095.85,21-05-1994,3-MEDIUM,Clerk#000000254,0,requests are blithely. realms wake theodolites. express requests could have
2401794,103556,O,234822.58,09-04-1996,1-URGENT,Clerk#000000355,0,ly express foxes among the bold inst
2401795,13786,O,262867.15,19-01-1996,1-URGENT,Clerk#000000582,0,uriously bold packages. fluffily pending foxe
2401796,99583,F,97442.4,24-06-1993,3-MEDIUM,Clerk#000000586,0,"gular ideas. final, even packages nag final ideas. final asymptotes eat. "
2401797,132871,F,93126.11,14-01-1992,1-URGENT,Clerk#000000098,0,ss foxes. quickly express deposits haggle slyly deposits. slyly silent gifts
2401798,94190,F,69015.54,29-01-1995,4-NOT SPECIFIED,Clerk#000000198,0, accounts sleep. furiously regular theodolites above the slyly bold req
2401799,100295,F,192915.52,01-03-1995,4-NOT SPECIFIED,Clerk#000000748,0,ructions impress bl
2401824,106000,F,55172.63,19-04-1994,5-LOW,Clerk#000000790,0,pecial excuses are quickly according to the f
2401825,138808,F,317510.24,18-03-1993,4-NOT SPECIFIED,Clerk#000000233,0,s are slyly. carefully bold foxes use blit
2401826,135529,O,192456.33,08-08-1997,3-MEDIUM,Clerk#000000118,0,"ular, final theodolites after the carefully silent depo"
2401827,52411,O,235399.71,11-09-1995,2-HIGH,Clerk#000000293,0,s the idle excuses. blithely regular e
2401828,49936,F,227368.27,17-02-1994,4-NOT SPECIFIED,Clerk#000000562,0, quickly bold ideas haggle fluffily above 
2401829,147196,O,64754.06,26-02-1998,3-MEDIUM,Clerk#000000236,0,ully alongside of the quickly express deposits. slyly even accounts af
2401830,111542,O,223667.78,19-12-1995,4-NOT SPECIFIED,Clerk#000000208,0,unts engage carefully. quickly unusual accounts
2401831,122996,O,304829.37,01-01-1997,1-URGENT,Clerk#000000433,0,slyly bold dependencies dazzle slyly according to the furious
2401856,37360,O,141885.74,28-06-1995,5-LOW,Clerk#000000240,0,the even deposits. slyly final p
2401857,131260,F,243715.54,17-11-1993,5-LOW,Clerk#000000932,0,y. carefully special courts
2401858,12859,O,84366.75,18-09-1995,3-MEDIUM,Clerk#000000657,0,wake furiously above the carefully ironic accounts. slyly regular depo
2401859,97231,O,56536.42,12-02-1998,1-URGENT,Clerk#000000345,0," haggle blithely ironic packages. regular attainments affix at the special, "
2401860,53441,F,48649.26,30-11-1994,5-LOW,Clerk#000000089,0,nic requests solve carefully carefully regular asymptotes. permane
2401861,124645,F,114313.54,22-03-1994,3-MEDIUM,Clerk#000000474,0,nent packages cajole never. ruthle
2401862,148930,O,26387.84,31-01-1996,2-HIGH,Clerk#000000541,0,e about the fluffily final theodolites. blithely special requests detect 
2401863,13289,F,106460.11,18-04-1994,2-HIGH,Clerk#000000804,0,print slyly ironic requests. quickly ironic packages wake blithely beh
